model_number,base_price,description
YH8-520,600,"最大推力12000N,1：普通款前后13孔径接头行程50-100单价600元每加行程50毫米加25元以此类推，2：如果前后接头加鱼眼""碳钢""（孔径）12-20另外加30元，不锈钢鱼眼另外算。3：如果后接头加底板另外加50元，前接头另外加顶板另外加40元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，5：客户要用滚珠丝杆行程50-200另外加280元每加100行程加30元。6：（1）控制器，单控单价：260元（无线+有线遥控） 。（2）二同步控制器600元，（3）三同步大功率800元，（4）四同步大功率1000元，多同步的另外报价控制器驱动电动推杆行程的精度在1毫米以内加霍尔，外控，高低电平信号输出，逻辑电平控制，常开信号外引加60元，内置485和CAN通讯加150元，电位器加60元（进口另外报价）无源常开加外控一体8芯电线，加100元"
YH8-520P,900,"最大推力16000N,1：普通款前后13孔径接头行程50-100单价900元每加行程50毫米加25元以此类推，2：如果前后接头加鱼眼""碳钢""（孔径）12-20另外加30元，不锈钢鱼眼另外算。3：如果后接头加底板另外加50元，前接头另外加顶板另外加40元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，5：客户要用滚珠丝杆行程50-200另外加280元每加100行程加30元。6：（1）控制器，单控单价：260元（无线+有线遥控） 。（2）二同步控制器600元，（3）三同步大功率800元，（4）四同步大功率1000元，多同步的另外报价控制器驱动电动推杆行程的精度在1毫米以内加霍尔，外控，高低电平信号输出，逻辑电平控制，常开信号外引加60元，内置485和CAN通讯加150元，电位器加60元（进口另外报价）无源常开加外控一体8芯电线，加100元"
YH8-520S,1400,"最大推力20000N,1：普通款前后13孔径接头行程50-100单价1400元每加行程50毫米加25元以此类推，2：如果前后接头加鱼眼""碳钢""（孔径）12-20另外加30元，不锈钢鱼眼另外算。3：如果后接头加底板另外加50元，前接头另外加顶板另外加40元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，5：客户要用滚珠丝杆行程50-200另外加280元每加100行程加30元。6：（1）控制器，单控单价：260元（无线+有线遥控） 。（2）二同步控制器600元，（3）三同步大功率800元，（4）四同步大功率1000元，多同步的另外报价控制器驱动电动推杆行程的精度在1毫米以内加霍尔，外控，高低电平信号输出，逻辑电平控制，常开信号外引加60元，内置485和CAN通讯加150元，电位器加60元（进口另外报价）无源常开加外控一体8芯电线，加100元"
YH8-521,500,"推力8000N,1：普通款前后13孔径接头行程50-100单价500元每加行程100毫米加40元以此类推，2：如果前后接头加鱼眼""碳钢""孔径12-20另外加30元，不锈钢鱼眼另外算。3：如果后接头加底板另外加50元，前接头另外加顶板另外加30元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，5：客户要用滚珠丝杆行程50-200另外加280元每加100行程加40元。6：（1）控制器，单控单价：280元（无线+有线遥控器），二同步（大功率）12V电流比较大必须用大功率的（600元一套加配433遥控器），（2）三同步大功率800元一套加配433遥控，小功率600元一套加配433遥控。（3）四同步大功率800元一套加配433遥控，小功率600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用），霍尔信号，加60元，电位器加60元（进口电位器另外报价）其他信号外接加50元，"
YH8-522,160,"推力1200N,1：普通款前后6.1孔径接头行程50-100单价160元每加行程100毫米加30元，2：前接头加鱼眼6-12另外加20元。3：如果后接头加底板另外加40元，前接头另外加顶板另外加25元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前接头开槽和孔径大小收费20元，6：（1）控制器单控单价280元（无线+有线遥控）。二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）控制器驱动电动推杆行程的精度在1毫米以内，霍尔信号加30元，电位器加50元（进口电位器另外报价），"
YH8-523D,260,"推力5000N,1：普通款前后8-10孔径接头行程50-100单价260元每加行程50毫米加15元以此类推，2：前接头加鱼眼6-12另外加20元（不锈钢鱼眼另外报价）。3：如果后接头加底板另外加30元，前接头另外加顶板另外加25元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，6：（1）控制器单控单价：280元（无线+有线遥控），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元，电位器加50元。控制器驱动电动推杆行程的精度在1毫米以内。"
YH8-523J,250,"推力3000N,1：普通款前后8-10孔径接头行程50-100单价250元每加行程50毫米加15元以此内推，2：前接头加鱼眼6-12另外加20元（不锈钢鱼眼另外报价）。3：如果后接头加底板另外加30元，前接头另外加顶板另外加20元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，6：（1）控制器单控单价：280元（无线+有线遥控器），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元，电位器加50元（进口电位器另外报价）。控制器驱动电动推杆行程的精度在1毫米以内。"
YH8-524E,500,"最大推力8000N.1：普通款前后13孔径接头行程50-100单价500元每加行程100毫米加40元以此类推。2：如果前后接头加鱼眼""碳钢""孔径12-20另外加30元（不锈钢鱼眼另外报价）。3：如果后接头加底板另外加50元，前接头另外加顶板另外加30元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，5：客户要用滚珠丝杆行程50-200另外加280元每加100行程加40元。6：（1）控制器单控单价：280元（无线+有线遥控器），二同步（大功率）12V电流比较大必须用大功率的（600元一套加433遥控器），（2）三同步大功率800元一套加2G遥控，小功率600元一套加手控。（3）四同步大功率800元一套加2G遥控，小功率600元一套加手控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用），霍尔信号，加60元，电位器加60元（进口电位器另外报价）。其他信号外接加30元控制器驱动电动推杆行程的精度在1毫"
YH8-525,200,"推力2500N,1：普通款前后6-8孔径接头行程50-100单价200元每加行程100毫米加30元以此类推。2：前接头加鱼眼6-12另外加20元。3：如果后接头加底板另外加40元，前接头另外加顶板另外加25元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，6：（1）控制器单控单价：280元（无线+有线遥控器），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元，电位器加50元。控制器驱动电动推杆行程的精度在1毫米范围其他信号外接加30元。"
YH8-526G,400,"推力5000N,1：普通款前后8-12孔径接头行程50-100单价400元每加行程100毫米加50元以此类推，2：3：注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：，6：（1）控制器单控单价：280元（无线+有线遥控），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元。控制器驱动电动推杆行程的精度在1毫米以内。"
YH8-526S,350,"推力2500N,1：普通款前后8-10孔径接头行程50-100单价350元每加行程100毫米加40元以此类推，2：3：注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：，6：（1）控制器单控单价：280元（无线+有线遥控），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元。控制器驱动电动推杆行程的精度在1毫米以内。"
YH8-528,500,"推力2000N,（6000N待开发）,1：普通款前后8-10孔径接头行程300单价500元每加行程50毫米加20元以此类推，2：前接头加鱼眼6-12另外加20元。3：如果后接头加底板另外加40元，前接头另外加顶板另外加20元，注：用我公司材料尺寸如客户自己出图根据尺寸和加工难度另外收费。4：前后开槽和孔径大小收费20元，6：（1）控制器单控单价280元（外形+有线遥控器），二同步（450元一套加配433遥控），（2）三同步520元一套加配433遥控。（3）四同步600元一套加配433遥控，多同步的另外报价。控制器调试触摸屏850元（这个客户一般不需要我公司调试用）霍尔信号加30元。控制器驱动电动推杆行程的精度在1毫米范围。"
